"Task Type","Task ID","Task Name","Status","Task Content","Assignee","Priority","Latest Comment","Comment Count","Assigned Comment Count","Due Date","Start Date","Date Created","Date Updated","Date Closed","Date Done","Created By","Space","Folder","List","Subtask ID's","Subtask URL's","tags","Lists","Sprints","Linked Tasks","Linked Docs","Time Logged","Time Logged Rolled Up","Time Estimate","Time Estimate Rolled Up","Points Estimate","Points Estimate Rolled Up","Progress (manual progress)","Release (short text)","Release (drop down)","Release (drop down)"
"Task","86dzcxn19","Complete Series A in Q1 to fund growth","on target","Rock Statement (EOS)
Rock: Secure $1-2M Bridge with MES#CAP and Secure Series A Tranche Funding Milestones ($1M in 45 days; $3M in 90 days) with Keiretsu.
Done looks like:
$1M (Bridge 1 tranche) before Feb 28th. Optionally 2 more tranches of $500K before Series A if needed.
$1M (Series A 1st payment) of the tranche is received within 45 days.
$3M (Series A 2nd tranche) is fully completed and received within 90 days.

","[Lionel Carrasco]","URGENT","",0,0,"Tuesday, March 31st 2026","Friday, January 16th 2026","Thursday, January 22nd 2026, 10:12:35 am -03:00","Tuesday, February 24th 2026, 10:45:44 am -03:00","","","Lionel Carrasco","Strategic Squad","Monitor","Rock Tracing","[86dzerdkq]","[https://app.clickup.com/t/86dzerdkq]","","[Rock Tracing]","[]","","","","","","",,0,75,"","",""
"Task","86dzcxvmd","Stabilize and refactor core UX flows for product performance","on target","Rock Statement (EOS)
Rock: Optimize Quote Path + Money-Flow Journeys to Improve Order Completion and optimize the onboarding process.
Done looks like:
Quote path (first-order processing) and all key in-app user journeys—with priority on money flows—are enhanced and released.
≥ 50% of users successfully complete onboarding.
≥ 50% of first-time orders result in a fully completed transaction.
≥ 90% of all orders complete without customer service intervention.
The remaining ≤ 10% of orders are successfully resolved by customer service within the agreed SLA.

","[Marcela Henao]","URGENT","",0,0,"Tuesday, March 31st 2026","","Thursday, January 22nd 2026, 10:23:52 am -03:00","Tuesday, February 24th 2026, 10:47:22 am -03:00","","","Lionel Carrasco","Strategic Squad","Monitor","Rock Tracing","[86dzdzuuc, 86dzdzv0x, 86dzdzwqq]","[https://app.clickup.com/t/86dzdzuuc, https://app.clickup.com/t/86dzdzv0x, https://app.clickup.com/t/86dzdzwqq]","","[Rock Tracing]","[]","","","","","","",,0,25,"","",""
"Task","86dzcqq13","Release Lola to Beta by Feb 27th with 1+ clients","on target","Clients: 
Banrural
Mandamoney
Corridors:  
MUST
Card to Cash: Fund via CRB or FISERV through Intermex
Card to Bank: Fund via CRB or FISERV through Intermex
SHOULD:
Card to Card: Fund & S  Send through FISERV or CRB
Cash to Card: Fund via CRB or FISERV through Intermex
Cash to Bank: Fund via CRB or FISERV through Intermex
COULD: 
Wallet to Card: Fund via CRB or FISERV through Intermex
Wallet to Bank: Fund via CRB or FISERV through Intermex
Wallet to Cash: Fund via CRB or FISERV through Intermex
WONT: 
Tab2Pay

Use cases:
MUST
Send & Get
SHOULD
Request
COULD
Send to Collect
WONT
M2M Push
M2M Pull
","[Alejandro Pirola]","URGENT","",0,0,"Friday, February 27th 2026","","Wednesday, January 21st 2026, 9:39:56 pm -03:00","Tuesday, February 17th 2026, 10:45:46 am -03:00","","","Lionel Carrasco","Strategic Squad","Monitor","Rock Tracing","[]","[]","","[Rock Tracing]","[]","","","","","","",,0,50,"","",""
"Task","86dzfc0a6","Release m2m to support Kapital deployment in the baseline","on target","Rock Statement (EOS)
Rock: Launch Me2Me with Kapital in Production (Baseline Push + Pull) and hit conversion + reliability targets.
Done looks like:
Me2Me with Kapital is live in production and included in the baseline for both Push and Pull flows.
The end-to-end user experience achieves ≥ 25% conversion for new users.
The system processes ≥ 90% of all transactions successfully (as defined by your success criteria) over an agreed measurement window (e.g., trailing 2 weeks post-launch).

","[Judith Tapia]","URGENT","",0,0,"Friday, February 27th 2026","","Monday, January 26th 2026, 11:41:57 pm -03:00","Tuesday, February 24th 2026, 10:57:19 am -03:00","","","Lionel Carrasco","Strategic Squad","Monitor","Rock Tracing","[86dzqhvdq, 86dzqhvff]","[https://app.clickup.com/t/86dzqhvdq, https://app.clickup.com/t/86dzqhvff]","","[Rock Tracing]","[]","","","","","","",,0,0,"","",""
"Task","86dzcqtj4","Maximize Payment Methods Acceptance to decrease friction","on target","Rock Statement (EOS)
Rock: Validate All Known Payment Use Cases in Production to Improve Error Handling and User Success (QA + R&D + Risk + Product)
Done looks like:
Analysis of current payment methods issues ongoing
CRB Card Information Not Complete / Not Usefull Issues
CRB Issues in PROD with Push Transactions (declined countries)
Arcus Account Ownership Verification issues
A complete use-case coverage map is created and agreed with R&D, Risk, and Product (owned test plan with scope, scenarios, and acceptance criteria).
QA executes production testing for all known use cases, including negative/error paths and recovery flows.
We produce a prioritized, actionable output package:
List of enhancements (UX + flow improvements)
List of bug fixes (with severity, reproduction steps, and owners)
Catalog of exceptions that require Customer Service handling, with clear guidance/runbooks for each.
Success criteria are defined and reported (e.g., pass rate by use case, top error categories, and recommended fixes).

","[Vanesa V. Vilas]","HIGH","",0,0,"Saturday, March 28th 2026","Tuesday, January 27th 2026","Wednesday, January 21st 2026, 9:48:16 pm -03:00","Tuesday, February 24th 2026, 2:39:03 pm -03:00","","","Lionel Carrasco","Strategic Squad","Monitor","Rock Tracing","[]","[]","","[Rock Tracing]","[]","","","","","","",,0,25,"","",""
"Task","86dzfc2ag","Script & Automate Operations","on target","Rock Statement (EOS)
Rock: Standardize and Automate Production Releases + Client Configuration for Reliable, Repeatable Deployments (Zero Manual Error)
Done looks like:
Production releases and client configurations are executed through a standard, repeatable deployment process owned by Cloud Operations with minimal dependency on R&D.
Deployment and configuration are driven by structured forms/systems (validated inputs, approvals, audit trail) with no free-text / ad-hoc steps.
Cloud Operations has a complete deployment toolkit:
automation scripts / pipelines for releases + config changes
checklists and runbooks (pre-checks, deploy, rollback, post-checks)
clear ownership and handoffs (RACI)
Confidence criteria are met:
0 critical production incidents attributable to deployment/configuration errors over the agreed measurement window
100% of deployments follow the standardized process (tracked)
Rollback procedure tested and documented for Tier 1 releases.

","[Francisco Candia]","URGENT","",0,0,"","","Monday, January 26th 2026, 11:49:01 pm -03:00","Tuesday, February 17th 2026, 10:53:28 am -03:00","","","Lionel Carrasco","Strategic Squad","Monitor","Rock Tracing","[]","[]","","[Rock Tracing]","[]","","","","","","",,0,50,"","",""
"Task","86dzkbkny","Release Viamericas phase 1","on target","Rock Statement (EOS)
Rock: Redesign Cards API + Certification Model to Enforce Compliance While Reducing Dev Burden (Stable Docs, Sandbox, Samples, Reference Implementation)
Done looks like:
The Cards API is refactored so compliance enforcement is primarily achieved through a certification program (not constant API-level business-logic changes), reducing ongoing partner/client rework.
The API surface is simplified and stabilized (versioning + change policy defined) to minimize updates when business rules evolve.
A complete developer enablement package is delivered:
well-structured, modern online documentation (guides + reference + error catalog)
a fully functional sandbox that supports end-to-end testing of core card flows GALILEO CV - THIS IS IHOW IT WORKS TODAY
ready-to-run samples (agreed languages)
a complete reference implementation (e.g., “Cloud Cards”) that Leap can deploy internally and/or provide for clients to use.
Certification is live with clear artifacts:
certification criteria + test suite - DONE VANESA
process/workflow (enroll → test → pass/fail → recert when needed)
owners and SLAs for support and approvals.

","[Federico Albera]","HIGH","",0,0,"Saturday, February 28th 2026","","Monday, February 2nd 2026, 9:45:12 pm -03:00","Thursday, February 12th 2026, 11:08:52 am -03:00","","","Lionel Carrasco","Strategic Squad","Monitor","Rock Tracing","[86dzkcexb]","[https://app.clickup.com/t/86dzkcexb]","","[Rock Tracing]","[]","","","","","","",,0,0,"","",""
"Task","86dze044c","Enhance the Partner API by removing sequencing requirements","to do","Rock Statement (EOS)
Rock: Refactor Partner API to Simplify Integration (Maintain Validations) + Launch Certification and Modern Developer Experience
Done looks like:
A refactored simpler Partner API is released that maintains required validations while removing rigid “recipe” sequencing (developers can integrate with fewer mandatory steps).
A formal certification process is defined and operational (criteria, test suite, environments, and pass/fail workflow).
Modern, online documentation is live and complete (reference + guides), including:
clear quickstart and integration paths
ready-to-use sample apps and code snippets
multi-language support options (SDKs or examples for agreed languages)
troubleshooting/error catalog and best practices
Developers have ready-to-run samples that successfully complete core flows end-to-end in the sandbox (and certify against the test suite).




","[Federico Albera, Javier Comas]","NORMAL","",0,0,"Monday, March 30th 2026","","Friday, January 23rd 2026, 9:36:57 pm -03:00","Tuesday, February 24th 2026, 11:17:23 am -03:00","","","Lionel Carrasco","Strategic Squad","Monitor","Rock Tracing","[]","[]","","[Rock Tracing]","[]","","","","","","",,0,0,"","",""
"Task","86dzcxvh1","Create Golive to Scale Playbook to boost partner performance","to do","Rock Statement (EOS)
Rock: Build and Launch a Go-Live-to-Scale Methodology (Profile Use Cases → 500 TX/day within 12 months)
Done looks like:
A clear, repeatable method exists to profile partner use cases that align with revenue targets and define the path from 1 → 100 TX/day.
The Go-Live to Scale process is formally defined to start before RCGA and be considered complete only when the account reaches 500 TX/day, with a maximum timeline of 12 months from go-live (or RCGA, per your internal definition).
By end of Q1, the methodology is operational with:
documented stages, gates, and entry/exit criteria (incl. 1, 100, 500 TX/day)
required artifacts (templates, checklists, playbooks, dashboards)
clear owners/RACI and resourcing aligned across teams
pilot readiness: at least 1 partner/account selected to run through the process end-to-end.






","[Oscar Alonso]","HIGH","",0,0,"Monday, March 30th 2026","","Thursday, January 22nd 2026, 10:23:38 am -03:00","Tuesday, February 10th 2026, 10:55:27 am -03:00","","","Lionel Carrasco","Strategic Squad","Monitor","Rock Tracing","[]","[]","","[Rock Tracing]","[]","","","","","","",,0,0,"","",""
"Task","86dzcxw35","Optimize Order to Cash to reduce delivery time and increase reliability","to do","Rock Statement (EOS)
Rock: Optimize Order-to-Cash to Reduce Delivery Time and Increase Reliability (R&D + Cloud Ops + Sales)
Done looks like:
A cross-functional Order-to-Cash process is defined, documented, and operating reliably across R&D, Cloud Operations, and Sales.
Tier 1 apps are ready for client testing within 2 weeks.
Zero configuration issues in Tier 1 app delivery (as defined by your defect criteria).
All Leap-side steps required to be “ready” are completed within 4 weeks.
The first live transaction occurs within 5 weeks after KOM.
App skin application and configuration are automated (repeatable, push-button, and version-controlled).

","[Carolina Speroni]","HIGH","",0,0,"Saturday, February 28th 2026","","Thursday, January 22nd 2026, 10:26:00 am -03:00","Tuesday, February 24th 2026, 10:51:22 am -03:00","","","Lionel Carrasco","Strategic Squad","Monitor","Rock Tracing","[]","[]","","[Rock Tracing]","[]","","","","","","",,0,0,"","",""
