"Task Type","Task ID","Task Custom ID","Task Name","Status","Task Content","Assignee","Priority","Latest Comment","Comment Count","Assigned Comment Count","Due Date","Start Date","Date Created","Date Updated","Date Closed","Date Done","Created By","Space","Folder","List","Subtask ID's","Subtask URL's","tags","Lists","Sprints","Linked Tasks","Linked Docs","Time Logged","Time Logged Rolled Up","Time Estimate","Time Estimate Rolled Up","Points Estimate","Points Estimate Rolled Up","Affected by (tasks)","Affects versions RaaS (drop down)","Comentarios (text)","Component-ok (labels)","Fix Version RaaS (drop down)","Jira ID (text)","Orden (number)","PM (drop down)","Projects (drop down)","RN Client Description (text)","RN Int Description (text)","Release (drop down)","Release Name (drop down)","Release Notes Client (checkbox)","Release Notes Internal (checkbox)","Released (checkbox)","Review (drop down)","Revision (drop down)","Target Version RaaS (drop down)","Type oz (drop down)","🤓 User Acceptance Criteria (text)"
"Task","86e18mtgq","RAAS-6638","Create ticket to support when a partner configuration error prevents transaction execution","in review","
","[Judith Tapia]","none","",0,0,"","","Wednesday, May 6th 2026, 2:18:09 pm -03:00","Friday, May 8th 2026, 2:29:37 pm -03:00","","","Vanesa V. Vilas","Numi RaaS","Backlog Management Numi","Technical Requirements - TA RaaS","[]","[]","","[Technical Requirements - TA RaaS, CARDAMOM (VNA)]","[]","","","","","","",,0,"","","","","","","","","","","","","","","","","","","","",""
"Task","86e12dgj2","RAAS-6626","Handle exception Scenarios for receiving method/currency different from quote","in review","Context
When the user enters a receving method which country is diffeent than the one selected in the quote, the quote needs to be re-executed as described in the task Handle scenario where receiving method country/currency is different from the selected in the Quote (https://app.clickup.com/t/1238940/RAAS-6567) 
But the exception scenarios for this feature were not defined.
The EXCEPTION scenarios can be as follows
If the payment method that has to be replaced is not included in the corridor configuration (e.g the card is from Peru and the corridor do not include send to card to Peru, but only to VNA)
if the payment method limits are not met from the amount selected by the user

   and    to define the behaviour of the UI in this scenarios
","[Judith Tapia, Valeria Ruiz]","none","",0,0,"","","Friday, April 24th 2026, 11:26:02 am -03:00","Friday, April 24th 2026, 11:31:49 am -03:00","","","Vanesa V. Vilas","Numi RaaS","Backlog Management Numi","Technical Requirements - TA RaaS","[]","[]","","[Technical Requirements - TA RaaS]","[]","","","","","","",,0,"","","","","","","","","","","","","","","","","","","","",""
"Task","86e0je62g","RAAS-6566","Missing Share Link scenario (display only when operation is funded with Card)","review accepted","Context
as per product definition it is necessary to change the moment where the share link is displayed to the user
It is necessary to ensure that the funds form the sender have been confirmed, to display to the sender that he can share the information for its receipient to complete their details

Note from TA:
This task was cloned from the original, since it was identified for FUND WITH CARD there is more research to do and logic needs to be added to platform / mobile to be able to implement the requested behaviour

Work to be Done
The Mobile layer needs to check for the Operation Status and ensure it is already funded prior to display the Link to Share for the first time

See product requirement below
Timing of Share Link Delivery (Send to Collect):
The share link must only be delivered (shown) once the sender's funds are confirmed,
Card funding: after successful pull authorization.: this secnariuo needs to be implemented for this task
Cash reload: after cash is deposited and confirmed : this scenario was covered in the original task: Display Share Link only when operation is funded (https://app.clickup.com/t/1238940/RAAS-6338) 
See Figma Below
 
Acceptance Criteria
When the SENDER user defines that the recipient will fill its details, (SEND AND COLLECT) and it's the first time the sender is interacting with that recipient, the Experience to share the link is presented.
The user will be displayed with the link to share the operations details ONLY when the operation has already been funded: 
if the funded with card, the PULL transaction has been completed succesfully

","[]","NORMAL","Discussed in PL on Monday, March 16th. Needs to be reviewed and adjusted.  @Vanesa V. Vilas  moved back into IN REVIEW  ",6,0,"","","Wednesday, March 25th 2026, 3:08:34 pm -03:00","Wednesday, March 25th 2026, 3:13:19 pm -03:00","","","Vanesa V. Vilas","Numi RaaS","Backlog Management Numi","Technical Requirements - TA RaaS","[]","[]","[mobile]","[Technical Requirements - TA RaaS]","[]","","","","","","",,0,"","","","[Mobile]","","","","","RaaS","","","","","","","","","","","UX Enhancement",""
"Task","86e0jdg4p","RAAS-6564","Add clarification text in Funding Method selection (for cards not displayed)","Closed","Context
it was identified during production testing that the users might be adding cards as funding method that are not USA Cards.
The non-USA cards at the momment the funding method needst to be selected, is not displayed, because the Mobile Layer logic ""filters"" the list of cards and displays only the ones which country matches the corridor card. In this case, the corridors have USA configured as origin country
This situation was confusing to the user because the mobile app will allow to ""add"" the card, but then the card that was suppousedly added succesfully, is not displayed to be selected as funding method.
It was defined that this situation has two outcomes as solution
1) at a long term, it is necessary to add logic to let the user know that the card is not able to be selected due to the country mismatch, this will be addressed in a further release, see related task: Validate and Inform user if the card country is not correct (https://app.clickup.com/t/1238940/RAAS-6563)  
2) at a short term, a clarification text might be added to the funding method selection screen to llet the user know that the cards displayed are only from the origin country allowed, in this case, USA.

UX Details
Text and details to be added by   
 
 Work to be Done
The Mobile layer needs to add the mentioned text to the corresponding screen

Acceptance Criteria
When the user is presented with the selection of the funding method, a text should be present to inform that the funding methods available are the ones which match with the origin country


","[Eliab Acevedo Avila]","none","image.png       Validated OK for NUMI SEND 2.3.1 on the following devices:       iPhone 8 - iOS 16.7.10     Samsung Galaxy S20 FE – Android 13  ",2,0,"","","Wednesday, March 25th 2026, 2:46:18 pm -03:00","Friday, March 27th 2026, 9:58:02 am -03:00","Friday, March 27th 2026, 9:58:02 am -03:00","Friday, March 27th 2026, 9:58:02 am -03:00","Vanesa V. Vilas","Numi RaaS","Backlog Management Numi","Technical Requirements - TA RaaS","[]","[]","","[Technical Requirements - TA RaaS, 2.3.1 Sandalwood (Bug Fixing)]","[]","","","","","","",,0,"","","","","","","","","RaaS","","","","","","","","","","","UX Enhancement","Acceptance Criteria
When the user is presented with the selection of the funding method, a text should be present to inform that the funding methods available are the ones which match with the origin country
"
"Task","86e0jcum8","RAAS-6563","Validate and Inform user if the card country is not correct","in review","Context
an enhacement was identified during production testing to add a new validation and alert for the user when the card he is trying to use for FUNDING does not belong to the COUNTRY that is defined as ORIGIN COUNTRY.
Particulary for this implementation, the origin country is always USA, so the funding cards must be from USA

Work to be Done
The backend and mobile layers need to add the mechanism to analyze if the funding card country (provided by CRB when the card is added) matches with the origin country of the transaction, and if it does not match some sort of message should be displayed for the user.
Issues to be considered
It is desired that this message is displayed to the user when the card is added, development team needs to confirm if this is feasible

","[]","none","",0,0,"","","Wednesday, March 25th 2026, 2:27:38 pm -03:00","Wednesday, March 25th 2026, 5:19:23 pm -03:00","","","Vanesa V. Vilas","Numi RaaS","Backlog Management Numi","Technical Requirements - TA RaaS","[]","[]","","[Technical Requirements - TA RaaS]","[]","","","","","","",,0,"","","","","","","","","","","","","","","","","","","","",""
"Task","86e0g4dv3","RAAS-6559","Enhacement for CRB Event Handling","Closed","Context
during testing of new enhacmeentns in platform in CRB integration in Cloud Cards projects it was identified that certain time-lapse definitions for wating the CRB Events were incorrect or missaligned.

Work Done
The Backend team worked on this enhacmeents proactively to improve the handing of the CRB events:
the waiting time for the platform transaction life-cicle vs the processing of the status of the transaction reported in the CRB Event

Acceptance Criteria
this is a general acceptance ticket, overal the Transactions that involve cards (load with card and send fundsx to card) should work as expected
","[]","none","image.png     Validated OK for NUMI SEND 2.3.1 on the following devices:       iPhone 8 - iOS 16.7.10     Samsung Galaxy S20 FE – Android 13  ",2,0,"","","Friday, March 20th 2026, 2:56:01 pm -03:00","Friday, March 27th 2026, 9:58:38 am -03:00","Friday, March 27th 2026, 9:58:38 am -03:00","Friday, March 27th 2026, 9:58:38 am -03:00","Vanesa V. Vilas","Numi RaaS","Backlog Management Numi","Technical Requirements - TA RaaS","[]","[]","[general-acceptance]","[Technical Requirements - TA RaaS, 2.3.1 Sandalwood (Bug Fixing)]","[]","","","","","","",,0,"","2.3","","[Backend]","","","","","RaaS","","","","","","","","","","","Platform Enhancement","Acceptance Criteria
this is a general acceptance ticket, overal the Transactions that involve cards (load with card and send fundsx to card) should work as expected

"
"Task","86e07gtdq","RAAS-6530","Apply Phone Number Format agreements","in review","It was identified that the phone number format handling in Raas and UI was incorrectly implemented.
It is necessary to review and apply the changes to comply with the agreements that the development team worked on on the number format and UI masks for the phone numbers of each country in use
See related tasks
See the document if country agreements 
https://docs.google.com/spreadsheets/d/10pyX1xjcWfCVyo-O6F30Nru2d6QHYbCMOIRzCm-n9UU/edit?usp=drivesdk

","[Javier Comas, Claudia Bolaños]","none","",0,0,"","","Friday, March 6th 2026, 10:29:39 am -03:00","Friday, March 6th 2026, 10:34:11 am -03:00","","","Vanesa V. Vilas","Numi RaaS","Backlog Management Numi","Technical Requirements - TA RaaS","[]","[]","","[Technical Requirements - TA RaaS]","[]","[SEND] - Problems on tx visualization, and naming contact: https://app.clickup.com/t/86dz1jr3p)
Phone Number - define correct format: https://app.clickup.com/t/86dxjqztc)","","","","","",,0,"","","","[Mobile, RaaS-Backend, Backend]","","","","","RaaS","","","","","","","","","","","Task",""
"Task","86e076t2n","RAAS-6529","Add Alert Mechanism for PTPE Events","code complete","A new alert to send information to Infra needs to be added when the PTPE Events in PROD are suspended

The details as follows
1) Get PTPE Events Status Endpoint (sandbox)
 2)   from the response check if the element callBackUrl matches the one corresponding to prod, and in the same object if the element isActive is false, in this case, the alert needs to be trigered, see example below 
          {
                ""registrationId"": ""1c5ff6e8-7997-4165-aa67-b273016301bf"",
                ""requestId"": ""ded4cc9c-9ca3-4c65-a4ac-03096f96e4ee"",
                ""callBackUrl"": ""https://numicrossriverapi.nomas.cash/CrossRiverApi/Webhook"",
                ""callBackUserName"": null,
                ""callBackPassword"": null,
                ""subMerchantId"": ""b273c293-ca85-40ba-932d-b22700c77583"",
                ""isActive"": false,
                ""deactivatedAt"": ""2025-02-05T21:08:08.277"",
                ""isInErrorState"": false,
                ""errorStateReason"": null,
                ""detectedErrorStateAt"": null
            }
","[Christian Galán]","none","",0,0,"","","Thursday, March 5th 2026, 5:28:56 pm -03:00","Tuesday, March 10th 2026, 9:08:47 am -03:00","","","Vanesa V. Vilas","Numi RaaS","Backlog Management Numi","Technical Requirements - TA RaaS","[]","[]","[non-qa]","[Technical Requirements - TA RaaS, Kanban R&D]","[]","","","","","","",,0,"","","","[Backend]","","","","","RaaS","","","","","","","","","","","Platform Enhancement",""
"Task","86e00ecu3","RAAS-6503","Enhacements for Name handling in Card Registration to improve ANI Match probability","code complete","Context
it was identified during testing in production that the handling of the elements of the user name / card holder name when invoking the card registration from CRB were resulting in incorrect name match results.
The aim of the ANI validation shouyld be return at least a partial match, when the ANI was executed, and ignore the result if the ANI was not executed (unknown).
A series of improvements were identified to allow the ANI match for a partial match, as follows:
avoid using the name on card provided by Mobile layer, and ""splirtting"" this field ""By guessing"" the first name with the first string.
use the legal name provided by the user in their CIP (throguh a document)
apply the different possible combinations of the legal name in the name elements of the api call to achieve a partial match
avoid handling the ""unknown"" result as negative outcome, the ""unknown"" means the ANI was not run by the network, and hence should be simply ignored (this means, with this result the ANI specifically should not result in an invalid card)

Work to Be Done
the platofm should handle the logic to add and validate the card at the payment method creation service, with the following premises
disable the logic around using the ""name on card"" provided by mobile, in the api call to register the card, altoghether
use the names provided as legal name of the user during their signup (the name obtained by the KYC service): first name, middle name, last name, second last name
If in the first call the ANI results in ""Uknown"" the validation/ card registration should continue its flow
Execute recursively a combination of these fields for the fields available in the api call to register de card until obtaining a satisfactory result
If the combination provides a ""partial match"" result, the card should be considered as ani validation passed and the validation/card registration flow should continue its flow.
If the combination provides a no match, the next combination in order should be executed,  
The different combinations to be used as well as their priority, can be reviewed in the following table
 
  
 Acceptance Criteria
when the user is providing a card to be used in the system, either as a funding or receiving card, if by any combination their names are present in the card, and the ANI result return a partial match with any of those combinations, the system should register the card as valid, if all the other validation elements are correct 
  
","[Alvaro Andres Obregon Carreño]","none","",0,0,"","","Monday, February 23rd 2026, 5:29:37 pm -03:00","Monday, February 23rd 2026, 6:03:59 pm -03:00","","","Vanesa V. Vilas","Numi RaaS","Backlog Management Numi","Technical Requirements - TA RaaS","[]","[]","[prod-testing-required, hot-fix]","[Technical Requirements - TA RaaS, CLOVE 2.2.1 (M2M) Bug Fixing]","[]","","","","","","",,0,"","","","[Backend]","2.2.1","","","","RaaS","","","","","","","","","","","Platform Enhancement","Acceptance Criteria
when the user is providing a card to be used in the system, either as a funding or receiving card, if by any combination their names are present in the card, and the ANI result return a partial match with any of those combinations, the system should register the card as valid, if all the other validation elements are correct 

"
"Task","86dzt9vw6","HWY-3108","Alert Design for Viamericas","Closed","Context
it was identified by Mobile team that for certain scenarios alerts need to be displayed for the user, but the alerts messages were not yet present in the app
   provicded the texts for each scenario with the detail below
Alert Texts in English

Billing Address Validation Failed
EN:
Invalid billing address
Please check your information and try again.""
try again.
Es;
La dirección es invalida
"" Revisa la información y reintenta.
reintentar

2.  Card Blocked Due to Failed Attempts
EN 
Card blocked
After multiple attempts to validate the address. Please contact support or try a new card.
try another/ contact support

ES
Tarjeta bloqueada
""Se intento validar la dirección y no correspondió. Contacta a soporte  o intenta otra.
intenta otra / contacta a soporte

Assets: something_wrong_white
Work to be Done
The mobile layer needs to present alerts for the user in the mentioned scenarios, qieh the text provided by UX in the section above

Acceptance Criteria
when the user is requested to enter a billing address during the card validation of a card he entered, if he enters an invalid address (or the address still results in AVS=false) he should be presented with an alert to explain that he needs to review the address
When the user spends three attempts (*) to review and change the billing address, the card is no longer valid and gets blocked, the suer should be informed properly with an alert text

(*) check with mobile team the number of attempts  configured

","[Federico Albera, Hugo Truffe]","none","ENG OK   Screenshot%202026-03-31%20at%202.10.38%E2%80%AFPM.png Screenshot%202026-03-31%20at%202.12.07%E2%80%AFPM.png   ESP NO OK (faltan acentos)   WhatsApp%20Image%202026-03-31%20at%202.15.06%20PM.jpeg WhatsApp%20Image%202026-03-31%20at%202.14.37%20PM.jpeg     Si bien está tal cual lo pide el ticket, se entiende que hay que escribirlo correctamente.   VALIDATED  WITH   	phone XIAOMI REDMI NOTE 14 PRO / Android 15/ CLOUCARDS 5.0.0(20)   	iPhone SE / iOS 26.3.1 /CLOUCARDS 5.0.0(20)    ",2,0,"","","Thursday, February 12th 2026, 3:54:49 pm -03:00","Tuesday, March 31st 2026, 3:19:14 pm -03:00","Tuesday, March 31st 2026, 3:19:14 pm -03:00","Tuesday, March 31st 2026, 3:19:14 pm -03:00","Federico Albera","H.WAY R&D","Backlog HWAY","Technical Backlog","[]","[]","","[Technical Backlog, CC CRB Beta (5.0), Technical Requirements - TA RaaS]","[]","","","","","","",,0,"","","","[Mobile]","","","","","h.way","","","","","","","","","","","UX Enhancement","Acceptance Criteria
when the user is requested to enter a billing address during the card validation of a card he entered, if he enters an invalid address (or the address still results in AVS=false) he should be presented with an alert to explain that he needs to review the address
When the user spends three attempts (*) to review and change the billing address, the card is no longer valid and gets blocked, the suer should be informed properly with an alert text
 
(*) check with mobile team the number of attempts  configured

"
